Country Name,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
Uganda,41174,337,40779,58,969637,"46,855,361"
Senegal,39465,1079,38215,171,455488,"17,085,094"
Zimbabwe,37307,1542,34901,864,394257,"15,031,062"
Thailand,34575,97,28288,6190,8124896,"69,936,717"
Malawi,33859,1132,31572,1155,224636,"19,512,250"
Sudan,30111,2063,24214,3834,232965,"44,641,909"
Malta,29661,402,28706,553,834763,"442,461"
Australia,29426,910,26361,2155,16161532,"25,730,082"
DRC,28542,745,25841,1956,143197,"91,662,959"
Madagascar,28541,506,24105,3930,155563,"28,241,598"
Maldives,25701,67,22796,2838,670883,"547,933"
Angola,23549,554,22093,902,443086,"33,655,110"
Rwanda,23535,316,21272,1947,1224739,"13,200,639"
Guinea,21106,136,18686,2284,416078,"13,408,133"
Gabon,20971,129,17762,3080,669004,"2,266,390"
Syria,20331,1385,14122,4824,103566,"17,829,667"
Mayotte,19706,167,2964,16575,165683,"277,909"
Cabo Verde,19110,184,17399,1527,136977,"560,687"
French Polynesia,18666,141,4842,13683,26355,"282,174"
Eswatini,18393,669,17682,42,173720,"1,169,515"
Mauritania,18035,450,17373,212,215922,"4,744,159"
French Guiana,17706,94,9995,7617,171169,"304,669"
Réunion,17508,123,16011,1374,100098,"900,292"
Mongolia,16603,27,9887,6689,2492932,"3,319,290"
Tajikistan,13308,90,13218,0,844275,"9,703,563"
Burkina Faso,12989,153,12627,209,175352,"21,346,254"
Haiti,12855,251,11513,1091,60085,"11,510,653"
Andorra,12581,121,11890,570,193595,"77,362"
Somalia,12566,618,5270,6678,100631,"16,235,833"
Belize,12503,318,12134,51,106371,"403,229"
Guadeloupe,12140,174,2242,9724,159029,"400,177"
Togo,12034,116,9303,2615,292368,"8,428,939"
Mali,12002,414,7166,4422,243860,"20,701,344"
Hong Kong,11608,207,11227,174,11193673,"7,544,369"
Curaçao,11385,68,6845,4472,85247,"164,617"
Guyana,11189,257,9751,1181,99746,"789,513"
Lesotho,10709,315,5028,5366,71629,"2,155,481"
South Sudan,10381,114,10148,119,139846,"11,295,828"
Congo,10084,137,8208,1739,92500,"5,623,185"
Aruba,10076,92,9468,516,136656,"107,120"
Djibouti,9975,100,8184,1691,140642,"999,165"
Bahamas,9460,190,8865,405,80573,"396,170"
Suriname,9316,182,8700,434,46195,"590,726"
Martinique,9028,57,98,8873,133358,"375,038"
Papua New Guinea,8821,69,846,7906,70260,"9,078,488"
Trinidad and Tobago,8441,146,7775,520,117847,"1,403,025"
Benin,7515,93,6452,970,548484,"12,368,739"
Equatorial Guinea,7219,106,6799,314,115364,"1,438,522"
Nicaragua,6727,179,4225,2323,844275,"6,685,869"
Iceland,6267,29,6140,98,562645,"342,969"
Gambia,5602,168,5145,289,59297,"2,469,123"
CAR,5491,74,5056,361,40907,"4,894,947"
Yemen,5446,1068,2059,2319,22934,"30,334,834"
Niger,5081,189,4760,132,93751,"24,881,206"
San Marino,4962,86,4510,366,56114,"33,987"
Cambodia,4696,33,2252,2411,782811,"16,898,828"
Chad,4641,167,4298,176,110863,"16,789,929"
Seychelles,4444,25,4161,258,21504,"98,822"
Saint Lucia,4355,64,4179,112,37758,"184,282"
Gibraltar,4277,94,4181,2,219808,"33,683"
Channel Islands,4051,86,3956,9,399901,"175,111"
Sierra Leone,4008,79,2831,1098,118332,"8,102,739"
Comoros,3789,146,3577,66,844275,"883,955"
Barbados,3734,44,3613,77,146355,"287,650"
Guinea-Bissau,3680,66,3069,545,60281,"2,004,008"
Eritrea,3466,10,3196,260,23693,"3,584,575"
Burundi,3154,6,773,2375,90019,"12,164,194"
Liechtenstein,2754,56,2625,73,32252,"38,213"
Vietnam,2707,35,2445,227,2598753,"98,020,700"
New Zealand,2587,26,2459,102,1948223,"5,002,100 "
Monaco,2377,31,2247,99,51953,"39,459"
Turks and Caicos,2357,17,2283,57,41059,"39,124"
Sao Tome and Principe,2267,35,2188,44,12597,"222,316"
Sint Maarten,2185,27,2118,40,25304,"43,255"
Liberia,2042,85,1899,58,79684,"5,149,709"
Bermuda,1891,16,998,877,217688,"62,098"
St. Vincent Grenadines,1806,10,1665,131,43985,"111,215"
Saint Martin,1693,12,1399,282,26385,"39,178"
Isle of Man,1574,29,1445,100,44761,"85,384"
Caribbean Netherlands,1519,14,1396,109,10011,"26,413"
Antigua and Barbuda,1198,30,938,230,16493,"98,561"
Mauritius,1197,15,797,385,358675,"1,273,416"
Taiwan,1062,11,1027,24,513203,"23,850,438"
Timor-Leste,1046,1,550,495,50556,"1,337,923"
Bhutan,921,1,875,45,652722,"778,220"
St. Barth,907,1,462,444,26385,"9,901"
Faeroe Islands,661,1,660,0,246793,"49,008"
Cayman Islands,516,2,487,27,84802,"66,322"
Tanzania,509,21,183,305,844275,"61,048,540"
Wallis and Futuna,437,5,44,388,1331,"11,084"
Brunei ,219,3,206,10,116596,"440,741"
British Virgin Islands,178,1,159,18,13223,"30,388"
Dominica,165,763,159,6,13500,"72,126"
Grenada,155,1,152,2,23989,"112,930"
New Caledonia,121,763,58,63,29182,"287,635"
Fiji,68,2,64,2,40300,"901,508"
